Node,Farness_weighted
40632,16131
47694,16131
48222,16131
41162,16131
42094,16131
42050,16131
42080,16131
138958,16131
41472,16131
37896,16131
139249,16131
139330,16131
46789,16131
46407,16131
46689,16131
46855,16131
41114,16131
41174,16131
139170,16131
139121,16131
41038,16131
41032,16131
41180,16131
41330,16131
41352,16131
41478,16131
39068,16131
39574,16131
39804,16131
39784,16131
39976,16131
39970,16131
40098,16131
40076,16131
40212,16131
40172,16131
40304,16131
40310,16131
40414,16131
40411,16131
40432,16131
43156,16131
42373,16131
137200,16131
138960,16131
138955,16131
42484,16131
139347,16131
42435,16131
139296,16131
138953,16131
138966,16131
139264,16131
48004,16131
48001,16131
47774,16131
40984,16131
47782,16131
47695,16131
37391,16131
36900,16131
41188,16131
139293,16131
41488,16131
42106,16131
139122,16131
43741,16131
139276,16131
43172,68705
136732,16131
137914,16131
139005,16131
138996,16131
42800,16131
42505,16131
55360,16131
55359,16131
55508,16131
52925,16131
61328,16131
41496,16131
41630,16131
139260,16131
139259,16131
41628,16131
41780,16131
41814,16131
41923,16131
139102,16131
139185,16131
139286,16131
139225,16131
40880,16131
41028,16131
139350,16131
140187,16131
138998,16131
139018,16131
139283,16131
47287,16131
43680,68702
44593,16131
44601,16131
45613,16131
45623,16131
40298,16131
46575,16131
46581,16131
139057,16131
139106,16131
70631,16131
88104,16131
55292,0
55291,0
61280,0
139272,16131
139328,16131
139044,16131
61279,0
70532,16131
139219,16131
30591,16131
40162,16131
40566,16131
40296,16131
40716,16131
40392,16131
40796,16131
40915,16131
41034,16131
41196,16131
139167,16131
139164,16131
41335,16131
32480,16131
41508,16131
139013,16131
41664,16131
36679,16131
36910,16131
139008,16131
36678,16131
41647,16131
139108,16131
41834,16131
139151,16131
41962,16131
43679,68702
43688,68703
40026,16131
39947,16131
139234,16131
139007,16131
136731,16131
30655,16131
32378,16131
139036,16131
139040,16131
37794,16131
139236,16131
136734,16131
44128,16131
44609,16131
44129,16131
139240,16131
139116,16131
139189,16131
39272,16131
39271,16131
39847,16131
37704,16131
36912,16131
139088,16131
40776,16131
40934,16131
41048,16131
139222,16131
41208,16131
138911,16131
138910,16131
41370,16131
40666,16131
40808,16131
41522,16131
41831,16131
42068,16131
42577,16131
42065,16131
36918,16131
139125,16131
36914,16131
37544,16131
39253,16131
39561,16131
139096,16131
40036,16131
43326,16131
43325,16131
37420,16131
40514,16131
137915,16131
43754,16131
40408,16131
43114,16131
37006,16131
137972,16131
40580,16131
139158,16131
139280,16131
137690,16131
37304,16131
42649,16131
139266,16131
139308,16131
41585,16131
41574,16131
43087,16131
43088,16131
41380,16131
37152,16131
41235,16131
39890,16131
41072,16131
43089,16131
43106,16131
43224,16131
40869,16131
40876,16131
139290,16131
139376,16131
40510,16131
139146,16131
43107,16131
22935,16131
139053,16131
