Node,Indegree,Outdegree
36495,3,3
102033,1,1
3730,18,18
3735,5,5
36509,20,20
36510,20,20
3741,6,8
3746,14,14
3750,1,1
36519,20,20
36524,7,7
36528,25,25
102067,56,56
36532,5,5
69304,57,56
3769,14,14
69306,56,58
69309,0,1
102079,4,4
69317,4,4
36550,4,4
3787,3,3
36559,18,18
69327,7,7
69329,1,1
36562,17,17
36563,5,5
69333,38,38
36567,10,10
36569,10,10
102106,15,15
69338,38,38
3802,10,9
3804,1,1
69343,25,25
3808,5,10
69348,1,1
36581,2,2
3812,1,1
36583,62,61
3817,5,5
3829,27,27
69366,58,58
3834,12,12
69380,2,2
102149,56,56
69386,2,4
102159,17,17
36625,29,29
3861,13,13
36630,24,54
69401,4,4
69402,4,4
36634,0,2
69404,1,1
102171,11,11
3870,47,47
36641,20,20
36646,1,1
69415,11,11
69416,11,11
69417,7,7
134954,3,4
36651,2,2
36657,2,2
69428,5,5
36661,3,3
36667,2,2
36670,36,36
69439,9,9
69442,6,5
36674,1,1
3911,10,5
69450,57,52
3915,4,4
36687,2,2
3920,1,1
69458,12,12
69464,1,1
69480,4,4
102252,4,4
36717,9,10
3954,27,27
102262,8,8
135030,4,4
3958,3,3
69495,1,1
135034,1,1
3960,1,1
36734,2,2
36738,5,5
36739,13,13
69506,1,0
102278,18,18
135049,4,4
102281,1,1
36752,188,185
3984,20,20
36753,76,76
36756,11,11
36759,14,14
36764,26,26
36765,5,3
69540,0,1
4006,16,16
69549,0,1
102318,1,1
4018,1,1
36802,3,3
36806,17,17
4040,47,47
36814,106,106
69583,7,7
36839,2,2
4088,1,1
36864,11,11
4097,38,38
4098,35,32
69645,1,1
4123,13,13
69660,25,25
36903,23,23
36905,11,11
69676,1,1
4148,33,31
4152,1,1
102459,10,10
135228,4,4
102463,1,1
36933,32,32
4165,33,39
4170,2,2
4183,20,33
36954,20,20
102492,2,2
4189,22,22
36957,8,8
4191,4,6
69724,1,1
69730,1,3
69731,1,1
4197,20,20
102504,86,86
4203,15,16
36980,8,8
69756,12,12
36998,8,8
37007,3,3
37010,8,8
4246,1,1
102555,1,1
69792,6,6
4264,47,47
69801,4,4
69800,7,7
4267,1,1
69811,1,1
69813,1,1
4277,1,1
4280,1,1
4288,3,3
135361,4,4
69836,9,9
69838,9,9
69840,2,2
4308,19,19
102613,3,3
69847,2,2
37090,2,2
37097,2,2
69866,1,1
4332,3,3
37103,1,1
4337,15,15
69874,38,18
4349,1,1
4350,1,1
4354,1,1
37122,8,8
69895,2,2
4360,2,2
135451,4,4
4384,18,18
102688,1,1
4387,1,1
37155,1,1
4390,40,23
4395,3,3
135476,8,8
135479,4,4
37184,48,48
69955,7,7
135500,4,4
4431,23,23
37215,3,3
37219,3,3
102757,1,1
4459,89,89
135532,5,5
102768,4,4
37235,20,20
70006,2,2
37242,1,1
4479,2,2
4480,2,2
4482,32,34
135554,5,5
70019,2,2
37271,1,1
37282,1,1
102821,1,1
135595,9,9
102842,1,1
37311,78,78
37314,8,8
4554,1,1
4558,10,10
37328,3,3
135632,6,6
4562,1,1
102884,1,1
37352,3,3
37368,36,36
70137,7,7
4615,49,49
70154,12,12
4621,3,3
4638,5,5
135711,15,15
37407,2,2
102946,1,1
135715,6,6
4642,2,2
4646,2,2
4663,89,89
135738,11,11
37443,4,4
70217,53,53
70218,12,12
102987,11,11
4695,0,1
4704,21,23
4705,8,8
135782,6,6
70248,1,1
70252,2,2
4717,44,46
70254,76,76
70255,76,76
37487,4,4
103026,1,1
37491,2,2
37493,2,2
37498,3,3
37502,93,93
37503,1,1
37509,0,1
37513,15,15
70281,4,4
70285,7,7
135827,3,3
70299,2,6
37533,2,2
135847,3,3
37549,6,5
103094,4,4
103097,1,1
37563,13,13
37569,28,28
103105,4,4
4803,33,33
70340,25,25
70347,53,53
37580,16,16
4812,18,17
70350,76,76
37583,3,3
4816,13,15
37590,26,26
37596,3,3
4839,3,1
37612,11,11
